Pedido,Nombre,Apellido,Telefono,Encargo,Entrega,Observaciones,Elaborado,Entregado,Modificar,Recogida,Familia1,Producto1,ID1,Cantidad1,Unidad1,Obs1,Familia2,Producto2,ID2,Cantidad2,Unidad2,Obs2,Familia3,Producto3,ID3,Cantidad3,Unidad3,Obs3,Familia4,Producto4,ID4,Cantidad4,Unidad4,Obs4,Familia5,Producto5,ID5,Cantidad5,Unidad5,Obs5,Familia6,Producto6,ID6,Cantidad6,Unidad6,Obs6,Familia7,Producto7,ID7,Cantidad7,Unidad7,Obs7,Familia8,Producto8,ID8,Cantidad8,Unidad8,Obs8,Familia9,Producto9,ID9,Cantidad9,Unidad9,Obs9,Familia10,Producto10,ID10,Cantidad10,Unidad10,Obs10,Familia11,Producto11,ID11,Cantidad11,Unidad11,Obs11,Familia12,Producto12,ID12,Cantidad12,Unidad12,Obs12,Familia13,Producto13,ID13,Cantidad13,Unidad13,Obs13,Familia14,Producto14,ID14,Cantidad14,Unidad14,Obs14,Familia15,Producto15,ID15,Cantidad15,Unidad15,Obs15,Familia16,Producto16,ID16,Cantidad16,Unidad16,Obs16,Familia17,Producto17,ID17,Cantidad17,Unidad17,Obs17,Familia18,Producto18,ID18,Cantidad18,Unidad18,Obs18,Familia19,Producto19,ID19,Cantidad19,Unidad19,Obs19,Familia20,Producto20,ID20,Cantidad20,Unidad20,Obs20
P0002,Marcela,Menendez,12344598,07-11-2025,10-12-2025,,True,True,,01,Pavo y aves,pato,A011,2.0,Gramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0003,Gerardo,Perez,1233478,07-11-2025,19-11-2025,,True,True,,01,Ternera,Cuarto,A009,4.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0004,Joselin,Perez,123765123,07-11-2025,28-11-2025,,False,False,,,Ternera,Cuarto,A009,4.0,KG,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0005,Carla,Martinez,123456,08-11-2025,15-11-2025,Se entrega a otra persona porque,False,False,,,Pollo,Pierna de pollo,A001,2.0,Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0006,Alisson,Alejandra,30011002,08-11-2025,30-11-2025,Se entrega a otra persona porque ella tiene que salir,False,False,,,Queso,Queso amarillo,A004,4.0,KG,,Carne Picada,Carne en trocitos,A008,3.0,KG,,Cerdo,Pechuga,A006,5.0,Gramos,,Maduradas,Carne molida,A005,2.0,KG,,Huevo,Huevos,A003,5.0,Unidades,,Pavo y aves,pato,A011,24.0,Gramos,,Cerdo,Pechuga,A006,4.0,Gramos,,Pollo,Pechuga,A006,2.0,Gramos,,Ternera,Cuarto,A009,34.0,KG,,Maduradas,Carne molida,A005,23.0,KG,,Pollo,Pierna de pollo,A001,43.0,Unidades,,Cerdo,Pechuga,A006,4.0,Gramos,,Huevo,Huevos,A003,3.0,Unidades,,Ternera,Cuarto,A009,2.0,KG,,Queso,Queso Duro,A007,12.0,Gramos,,Pavo y aves,pato,A011,3.0,Gramos,,Maduradas,Carne molida,A005,4.0,KG,,Queso,Queso amarillo,A004,5.0,KG,,Ternera,Cuarto,A009,2.0,KG,,Cerdo,Pechuga,A006,1.0,Gramos,
P0007,Rodrigo,Avila,9012735,08-11-2025,25-11-2025,,False,False,,,Huevo,Huevos,A003,10.0,Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0008,Rod,Avi,12386913212331,08-11-2025,29-11-2025,,False,False,,,Pollo,Pechuga,A006,6.0,Gramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0009,Juan,Gabriel,21390312123,08-11-2025,30-11-2025,,False,False,,,Pavo y aves,pato,A011,8.0,Gramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0010,Luis,Miguel,unodostres,08-11-2025,08-11-2025,,False,False,,,Queso,Queso Duro,A007,6.0,Gramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0011,r,a,123456,08-11-2025,08-11-2025,,False,False,,,Maduradas,Carne molida,A005,8.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
